"No.","IP Address","Type","Serial Number","Code","Receive Date","Warranty Date","DocRefer1","DocRefer2","Brand","Model","CPU Brand","CPU Speed","Capacity","Ram","Detail 1","Detail 2","Detail 3","Detail 4","Detail 5","Detail 6","OS License","OS Installed","Note","Location" 
"47","192.168.10.31","Accessories","U57K3Y00150"," ","Jun 4 2014 12:00AM","36"," "," ","EPSON Projector","EB-965"," "," ","0","0"," "," "," "," ","AC-18-26-22-16-5B"," "," "," ","                                                                                             ","Presentation RoomFactory 1" 
"48","192.168.10.91","Computer","DW9R52S","FA10-06-146","Feb 23 2011 12:00AM","36","CH-QC-008"," ","DELL","OptiPlex 780","Intel Pentium Dual-core E5400","2.70","160","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","B8-AC-6F-28-13-50","32 bit","Windows 7","Windows 2000","QAQC RAP                                                                         ","QA/QC Test RoomFactory 1" 
"49","192.168.10.91","Monitor","CN-0M875N-64180-04R-15YM","FA10-06-146","Feb 23 2011 12:00AM","36","CH-QC-008"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC RAP ","QA/QC Test RoomFactory 1" 
"50","192.168.10.92","Computer","FW9R52S","FA09-08-076","Feb 23 2011 12:00AM","36","CH-QC-007"," ","DELL","OptiPlex 780","Intel Pentium Dual-core E5400","2.70","160","2048","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows 7","Windows 2000","QAQC RAP                                                                                                                                            ","QA/QC Test RoomFactory 1" 
"51","192.168.10.92","Monitor","CN-0M875N-64180-0BG-1H4V","FA10-06-146","Feb 23 2011 12:00AM","36","CH-QC-007"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","QAQC RAP                                             ","QA/QC Test RoomFactory 1" 
"52","192.168.20.37","Accessories","V11H839052"," ","Jan 31 2019 12:00AM","36"," "," ","EPSON","EB-X05 Projector"," "," ","0","0"," "," "," "," "," "," "," "," ","Projector","Presentation RoomFactory 1" 
"53","192.168.10.101","Computer","7RD8GY1","FA13-09-426","Sep 19 2013 12:00AM","36","CH-HR-006","OCTS-5608043","DELL","OptiPlex 3010","Intel Core i3 - 3220","3.30","1024","4096","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," ","32 bit","Windows 8","Windows 7","HR01                                                                                          ","General OfficeFactory 1" 
"54","192.168.10.101","Monitor","3CQ8364J0H","OF08-12-002","Aug 3 2009 12:00AM"," ","CH-HR-001"," ","HP","W1907V - LCD 19 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","HR01 ","General OfficeFactory 1" 
"55","192.168.10.102","Computer","DDW7B2S","OF11-11-178","Oct 25 2011 12:00AM","36","CH-HR-004"," ","DELL","OptiPlex 390","Intel Core i3 - 2100","3.1","320","2048","DELL (CD/DVD)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","D0-67-E5-0E-D9-47","32 bit","Windows 7","Windows 7","HR03                    ","General OfficeFactory 1" 
"56","192.168.10.102","Monitor","CN-04H19R-72872-1AH-E6JM","OF11-11-178","Oct 25 2011 12:00AM","36","CH-HR-004"," ","DELL","E1912HF - LED 18 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","HR03                       ","General OfficeFactory 1" 
"57","192.168.10.103","Computer","FLLY22S","FA10-11-187","Aug 25 2009 12:00AM","36","CH-HR-002"," ","DELL","OptiPlex 360","Intel Core 2 Duo E7400","2.80","160","1024","DELL (CD/DVD0","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard"," 00-25-64-91-B0-F7","32 bit","Windows Vista","Windows XP","HR06","General OfficeFactory 1" 
"58","192.168.10.103","Monitor","CN-0M875N-64180-998-ZXVS","FA10-11-187","Aug 25 2009 12:00AM","36","CH-HR-002"," ","DELL","E170SC - LCD 17 Inch"," "," ","0","0"," "," "," "," "," "," "," "," ","HR06                        ","General OfficeFactory 1" 
"59","192.168.10.105","Computer","6TD8GY1","FA13-09-425","Sep 30 2013 12:00AM","36","CH-BP-004","OCTS-5609030","DELL","OptiPlex 3010","Intel Core i3 - 3220","3.30","1024","4096","DELL (DVD/DVD RW)","Sound Card: Onboard","Speaker: Onboard","Lan Card: Onboard","A4-1F-72-98-85-14","32 bit","Windows 8","Windows 7","BOI04                                                             ","General OfficeFactory 1" 
